modelo;id_work_center;tiempo;piezas
103S;11;0.0057;1
103S;2;0.0624;4
103S;3;0.1018;4
103S;1;0.0173;1
103S;4;0.0222;1
103S;5;0.0305;1
103S;6;0.041;4
103S;10;0.0587;1
105;11;0.0138;12
105;3;0.0558;3
105;1;0.0973;7
105;4;0.0363;7
105;6;0.0139;3
105;8;0.0842;1
106;11;0.0138;12
106;3;0.0582;3
106;1;0.0973;7
106;4;0.0363;7
106;6;0.0139;3
106;8;0.0842;1
111;2;0.06;1
111;3;0.064;3
111;1;0.029;1
111;4;0.022;1
111;5;0.095;1
111;6;0.02;3
111;10;0.019;1
112;12;0.036;1
112;6;0.02;1
114;11;0.093;4
114;3;0.064;3
114;1;0.058;1
114;4;0.048;1
114;5;0.098;1
114;6;0.2;3
114;10;0.027;1
114;14;0.043;2
116;3;0.123;2
116;1;0.15;17
116;4;0.17;17
116;6;0.01;2
116;14;0.043;4
116;9;0.1464;1
118;11;0.093;4
118;3;0.053;3
118;1;0.046;1
118;4;0.043;1
118;5;0.045;1
118;6;0.02;3
118;10;0.027;1
118;14;0.043;2
120S;11;0.0158;2
120S;2;0.0568;6
120S;3;0.0928;4
120S;1;0.041;2
120S;4;0.0318;2
120S;5;0.0305;2
120S;6;0.041;7
120S;10;0.0528;1
122;7;0.012;2
122;12;0.036;1
122;6;0.02;1
123S;11;0.0097;1
123S;2;0.0568;4
123S;3;0.0928;4
123S;1;0.0173;1
123S;4;0.0222;1
123S;5;0.0305;1
123S;6;0.041;4
123S;10;0.0587;1
129;11;0.04;4
129;1;0.0452;5
129;4;0.0665;5
129;5;0.0305;5
129;10;0.0528;1
129;14;0.043;2
135;1;0.198;12
135;4;0.1722;12
135;6;0.0115;8
135;14;0.0193;4
135;9;0.441;1
141;11;0.0097;1
141;3;0.0928;4
141;1;0.0173;1
141;4;0.0222;1
141;5;0.0305;1
141;6;0.041;4
141;10;0.0587;1
145;11;0.016;1
145;3;0.02;1
145;1;0.071;5
145;4;0.092;5
145;5;0.173;5
145;6;0.01;2
145;10;0.026;1
145;14;0.043;4
149S;11;0.0158;2
149S;2;0.0568;4
149S;3;0.0928;5
149S;1;0.047;3
149S;4;0.0318;3
149S;5;0.0305;3
149S;6;0.041;5
149S;10;0.0528;1
150;1;0.029;1
150;4;0.022;1
150;10;0.019;1
150;14;0.043;2
151;1;0.059;2
151;4;0.032;2
151;10;0.019;1
151;14;0.043;2
153;11;0.011;1
153;2;0.06;2
153;3;0.0928;4
153;1;0.029;1
153;4;0.022;1
153;5;0.095;1
153;6;0.0096;4
153;10;0.069;1
165;11;0.04;1
165;3;0.086;4
165;1;0.031;5
165;4;0.113;5
165;5;0.133;5
165;6;0.02;5
165;10;0.057;1
165;14;0.043;2
168;2;0.08;3
168;3;0.134;6
168;1;0.055;5
168;4;0.066;5
168;6;0.0288;6
168;14;0.043;2
168;9;0.142;1
175;11;0.032;2
175;1;0.132;6
175;4;0.127;6
175;6;0.01;2
175;14;0.043;2
175;9;0.464;1
183;11;0.0008;4
183;1;0.086;4
183;4;0.031;4
183;5;0.173;3
183;6;0.019;3
183;10;0.057;1
183;14;0.043;2
184;11;0.0008;4
184;1;0.066;4
184;4;0.031;4
184;5;0.053;3
184;6;0.019;3
184;10;0.057;1
184;14;0.043;2
185;11;0.02;5
185;3;0.01;3
185;1;0.036;1
185;4;0.04;1
185;6;0.048;3
185;14;0.043;2
185;9;0.038;1
187;11;0.02;2
187;3;0.01;2
187;1;0.036;2
187;4;0.04;2
187;6;0.048;2
187;14;0.043;2
187;9;0.038;1
199;11;0;4
199;3;0.005;2
199;1;0.018;1
199;4;0.017;1
199;5;0.101;1
199;6;0.0048;2
199;10;0.019;1
199;14;0.043;2
210S;11;0.02;2
210S;3;0.0928;5
210S;1;0.029;3
210S;4;0.032;3
210S;5;0.165;3
210S;6;0.02;5
210S;10;0.109;1
210S;14;0.043;2
217;11;0.011;4
217;3;0.062;4
217;1;0.029;1
217;4;0.022;1
217;5;0.19;1
217;6;0.0096;4
217;10;0.069;1
221;11;0.018;1
221;3;0.119;1
221;1;0.117;6
221;4;0.173;6
221;6;0.01;2
221;14;0.043;2
221;9;0.026;1
223;11;0.018;1
223;3;0.02;1
223;1;0.119;6
223;4;0.117;6
223;6;0.01;2
223;14;0.043;2
223;9;0.26;1
229;1;0.211;9
229;4;0.2714;9
229;14;0.043;2
229;9;0.63;1
233;1;0.0862;4
233;4;0.0602;4
233;5;0.053;4
233;6;0.041;12
233;10;0.0577;1
233;14;0.022;2
234;11;0.04;4
234;1;0.086;4
234;4;0.031;4
234;5;0.173;4
234;10;0.057;1
234;14;0.043;2
235;1;0.0448;7
235;4;0.168;7
235;14;0.043;2
235;9;0.037;1
237;11;0.0057;2
237;1;0.0285;1
237;4;0.0157;1
237;5;0.0255;1
237;10;0.0587;1
237;14;0.022;2
239;11;0.042;1
239;2;0.06;1
239;3;0.064;3
239;1;0.029;1
239;4;0.022;1
239;5;0.095;1
239;6;0.02;3
239;10;0.019;1
239;14;0.043;2
272;2;0.03;2
272;3;0.0084;2
272;6;0.005;2
273;11;0.0084;1
273;6;0.005;2
279;11;0.0084;1
279;2;0.03;1
279;6;0.005;2
285;11;0.01;3
285;3;0.005;2
285;1;0.018;1
285;4;0.017;1
285;6;0.0048;3
285;14;0.043;2
285;9;0.019;1
297;3;0.02;1
297;6;0.005;2
298;3;0.03;1
298;6;0.005;2
303;11;0.0205;14
303;3;0.05;4
303;1;0.1045;8
303;4;0.0483;8
303;6;0.0139;5
303;8;0.1234;1
304;11;0.0277;12
304;3;0.085;8
304;1;0.135;9
304;4;0.0678;9
304;6;0.0444;8
304;8;0.2013;1
305;11;0.0205;15
305;3;0.05;4
305;1;0.1103;9
305;4;0.0558;9
305;6;0.0194;5
305;8;0.1234;1
310;11;0.0138;17
310;3;0.0428;3
310;1;0.0376;3
310;4;0.0208;3
310;6;0.0222;4
310;8;0.1612;1
324;11;0.0084;1
324;2;0.05;1
324;6;0.005;2
327;11;0.0047;1
327;2;0.05;1
327;6;0.005;1
329;11;0.0047;1
329;2;0.05;1
329;6;0.005;2
379;12;0.105;1
379;6;0.04;1
399;11;0.0047;1
399;2;0.05;1
399;6;0.005;1
497;3;0.03;1
497;6;0.005;2
516;11;0.02;1
516;12;0.0205;1
516;6;0.014;1
517;2;0.14;8
517;3;0.28;4
517;1;0.03;1
517;4;0.007;1
517;5;0.051;1
517;6;0.02;4
517;10;0.03;1
517;14;0.043;2
518;2;0.19;8
518;3;0.333;4
518;1;0.03;1
518;4;0.007;1
518;5;0.051;1
518;6;0.02;4
518;10;0.03;1
518;14;0.043;2
526;11;0.039;1
526;1;0.036;1
526;4;0.029;1
526;5;0.073;1
526;10;0.057;1
526;14;0.043;2
527;11;0.039;1
527;1;0.056;1
527;4;0.029;1
527;5;0.073;1
527;10;0.057;1
527;14;0.043;2
528;11;0.039;1
528;1;0.036;1
528;4;0.029;1
528;5;0.073;1
528;10;0.057;1
528;14;0.043;2
543;2;0.3;10
543;3;0.384;2
543;1;0.06;1
543;4;0.007;1
543;5;0.051;1
543;6;0.0096;10
