modelo;id_work_center;tiempo;piezas
153;5;0.095;1
153;13;0;0
153;12;0;0
153;6;0.0096;4
153;16;0;0
153;10;0.069;1
153;14;0.043;0
153;8;0;0
153;9;0;0
153;15;0;0
165;11;0.04;1
165;2;0;0
165;3;0.086;4
165;1;0.031;5
165;4;0.113;5
165;5;0.133;5
165;7;0;0
165;13;0;0
165;12;0;0
165;6;0.02;5
165;16;0;0
165;10;0.057;1
165;14;0.043;2
165;8;0;0
165;9;0;0
165;15;0;0
168;11;0;0
168;2;0.08;3
168;3;0.134;6
168;1;0.055;5
168;4;0.066;5
168;5;0;0
168;13;0;0
168;12;0;0
168;6;0.0288;6
168;16;0;0
168;10;0;0
168;14;0.043;2
168;8;0;0
168;9;0.142;1
168;15;0;0
175;11;0.032;2
175;2;0;0
175;3;0;0
175;1;0.132;6
175;4;0.127;6
175;5;0;0
175;7;0;0
175;13;0;0
175;12;0;0
175;6;0.01;2
175;16;0;0
175;10;0;0
175;14;0.043;2
175;8;0;0
175;9;0.464;1
175;15;0;0
183;11;0.0008;4
183;2;0;0
183;3;0;0
183;1;0.086;4
183;4;0.031;4
183;5;0.173;3
183;7;0;0
183;13;0;0
183;12;0;0
183;6;0.019;3
183;16;0;0
183;10;0.057;1
183;14;0.043;2
183;8;0;0
183;9;0;0
183;15;0;0
184;11;0.0008;4
184;2;0;0
184;3;0;0
184;1;0.066;4
184;4;0.031;4
184;5;0.053;3
184;7;0;0
184;13;0;0
184;12;0;0
184;6;0.019;3
184;16;0;0
184;10;0.057;1
184;14;0.043;2
184;8;0;0
184;9;0;0
184;15;0;0
185;11;0.02;5
185;2;0;0
185;3;0.01;3
185;1;0.036;1
185;4;0.04;1
185;5;0;0
185;7;0;0
185;13;0;0
185;12;0;0
185;6;0.048;3
185;16;0;0
185;10;0;0
185;14;0.043;2
185;8;0;0
185;9;0.038;1
185;15;0;0
187;11;0.02;2
187;2;0;0
187;3;0.01;2
187;1;0.036;2
187;4;0.04;2
187;5;0;0
187;7;0;0
187;13;0;0
187;12;0;0
187;6;0.048;2
187;16;0;0
187;10;0;0
187;14;0.043;2
187;8;0;0
187;9;0.038;1
187;15;0;0
199;11;0;4
199;2;0.01;0
199;3;0.005;2
199;1;0.018;1
199;4;0.017;1
199;5;0.101;1
199;13;0;0
199;12;0;0
199;6;0.0048;2
199;16;0;0
199;10;0.019;1
199;14;0.043;2
199;8;0;0
199;9;0;0
199;15;0;0
210S;15;0;0
210S;11;0.02;2
210S;2;0.06;0
210S;3;0.0928;5
210S;1;0.029;3
210S;4;0.032;3
210S;5;0.165;3
210S;13;0;0
210S;12;0;0
210S;6;0.02;5
210S;16;0;0
210S;10;0.109;1
210S;14;0.043;2
210S;8;0;0
210S;9;0;0
210S;15;0;0
217;11;0.011;4
217;2;0;0
217;3;0.062;4
217;1;0.029;1
217;4;0.022;1
217;5;0.19;1
217;13;0;0
217;12;0;0
217;6;0.0096;4
217;16;0;0
217;10;0.069;1
217;14;0;0
217;8;0;0
217;9;0;0
217;15;0;0
221;11;0.018;1
221;2;0;0
221;3;0.119;1
221;1;0.117;6
221;4;0.173;6
221;5;0;0
221;13;0;0
221;12;0;0
221;6;0.01;2
221;16;0;0
221;10;0;0
221;14;0.043;2
221;8;0;0
221;9;0.026;1
221;15;0;0
223;11;0.018;1
223;2;0;0
223;3;0.02;1
223;1;0.119;6
223;4;0.117;6
223;5;0;0
223;7;0;0
223;13;0;0
223;12;0;0
223;6;0.01;2
223;16;0;0
223;10;0;0
223;14;0.043;2
223;8;0;0
223;9;0.26;1
223;15;0;0
229;11;0;0
229;2;0;0
229;3;0;0
229;1;0.211;9
229;4;0.2714;9
229;5;0;0
229;7;0;0
229;13;0;0
229;12;0;0
229;6;0;0
229;16;0;0
229;10;0;0
229;14;0.043;2
229;8;0;0
229;9;0.63;1
229;15;0;0
233;11;0.0263;0
233;2;0;0
233;3;0;0
233;1;0.0862;4
233;4;0.0602;4
233;5;0.053;4
233;7;0;0
233;13;0;0
233;12;0;0
233;6;0.041;12
233;16;0;0
233;10;0.0577;1
233;14;0.022;2
233;8;0;0
233;9;0;0
233;15;0;0
233;17;0;0
234;11;0.04;4
234;2;0;0
234;3;0;0
234;1;0.086;4
234;4;0.031;4
234;5;0.173;4
234;7;0;0
234;13;0;0
234;12;0;0
234;6;0;0
234;16;0;0
234;10;0.057;1
234;14;0.043;2
234;8;0;0
234;9;0;0
234;15;0;0
235;11;0;0
235;2;0;0
235;3;0;0
235;1;0.0448;7
235;4;0.168;7
235;5;0;0
235;7;0;0
235;13;0;0
235;12;0;0
235;6;0;0
235;16;0;0
235;10;0;0
235;14;0.043;2
235;8;0;0
235;9;0.037;1
235;15;0;0
237;11;0.0057;2
237;2;0;0
237;3;0;0
237;1;0.0285;1
237;4;0.0157;1
237;5;0.0255;1
237;7;0;0
237;13;0;0
237;12;0;0
237;6;0.041;0
237;16;0;0
237;10;0.0587;1
237;14;0.022;2
237;8;0;0
237;9;0;0
237;15;0;0
237;17;0;0
239;11;0.042;1
239;2;0.06;1
239;3;0.064;3
239;1;0.029;1
239;4;0.022;1
239;5;0.095;1
239;7;0;0
239;13;0;0
239;12;0;0
239;6;0.02;3
239;16;0;0
239;10;0.019;1
239;14;0.043;2
239;8;0;0
239;9;0;0
239;15;0;0
272;11;0;0
272;2;0.03;2
272;3;0.0084;2
272;1;0;0
272;4;0;0
272;5;0;0
272;7;0;0
272;13;0.0226;2
272;12;0;0
272;6;0.005;2
272;16;0;0
272;10;0;0
272;14;0;0
272;8;0;0
272;9;0;0
272;15;0.049;1
273;11;0.0084;1
273;2;0;0
273;3;0;0
273;1;0;0
273;4;0;0
273;5;0;0
273;7;0;0
273;13;0.0226;2
273;12;0;0
273;6;0.005;2
273;16;0;0
273;10;0;0
273;14;0;0
273;8;0;0
273;9;0;0
273;15;0.049;1
279;11;0.0084;1
279;2;0.03;1
279;3;0;0
279;1;0;0
279;4;0;0
279;5;0;0
279;7;0;0
279;13;0.0226;2
279;12;0;0
279;6;0.005;2
279;16;0;0
279;10;0;0
279;14;0;0
279;8;0;0
279;9;0;0
279;15;0.049;1
285;11;0.01;3
285;2;0;0
285;3;0.005;2
285;1;0.018;1
285;4;0.017;1
285;5;0;0
285;7;0;0
285;13;0;0
285;12;0;0
285;6;0.0048;3
285;16;0;0
285;10;0;0
285;14;0.043;2
285;8;0;0
285;9;0.019;1
285;15;0;0
297;11;0;0
297;2;0;0
297;3;0.02;1
297;1;0;0
297;4;0;0
297;5;0;0
297;7;0;0
297;13;0.0226;1
297;12;0;0
297;6;0.005;2
297;16;0;0
297;10;0;0
297;14;0;0
297;8;0;0
297;9;0;0
297;15;0.049;1
298;11;0;0
298;2;0;0
298;3;0.03;1
298;1;0;0
298;4;0;0
298;5;0;0
298;7;0;0
298;13;0.0226;1
298;12;0;0
298;6;0.005;2
298;16;0;0
298;10;0;0
298;14;0;0
298;8;0;0
298;9;0;0
298;15;0.049;1
303;11;0.0205;14
303;2;0;0
303;3;0.05;4
303;1;0.1045;8
303;4;0.0483;8
303;5;0;0
303;7;0;0
303;13;0.0538;1
303;12;0;0
303;6;0.0139;5
303;16;0;0
303;10;0;0
303;14;0;0
303;8;0.1234;1
303;9;0;0
303;15;0;0
303;17;0;0
304;11;0.0277;12
304;2;0;0
304;3;0.085;8
304;1;0.135;9
304;4;0.0678;9
304;5;0;0
304;7;0;0
304;13;0.0801;1
304;12;0;0
304;6;0.0444;8
304;16;0;0
304;10;0;0
304;14;0;0
304;8;0.2013;1
304;9;0;0
304;15;0;0
304;17;0;0
305;11;0.0205;15
305;2;0;0
305;3;0.05;4
305;1;0.1103;9
305;4;0.0558;9
305;5;0;0
305;7;0;0
305;13;0.0538;1
305;12;0;0
305;6;0.0194;5
305;16;0;0
305;10;0;0
305;14;0;0
305;8;0.1234;1
305;9;0;0
305;15;0;0
305;17;0;0
310;11;0.0138;17
310;2;0;0
310;3;0.0428;3
310;1;0.0376;3
310;4;0.0208;3
310;5;0;0
310;7;0;0
310;13;0.12;1
310;12;0;0
310;6;0.0222;4
310;16;0;0
310;10;0;0
310;14;0;0
310;8;0.1612;1
310;9;0;0
310;15;0;0
310;17;0;0
324;11;0.0084;1
324;2;0.05;1
324;3;0;0
324;1;0;0
324;4;0;0
324;5;0;0
324;7;0;0
324;13;0.0226;2
324;12;0;0
324;6;0.005;2
324;16;0;0
324;10;0;0
324;14;0;0
324;8;0;0
324;9;0;0
324;15;0.049;1
327;11;0.0047;1
327;2;0.05;1
327;3;0;0
327;1;0;0
327;4;0;0
327;5;0;0
327;7;0;0
327;13;0.0226;2
327;12;0;0
327;6;0.005;1
327;16;0;0
327;10;0;0
327;14;0;0
327;8;0;0
327;9;0;0
327;15;0.055;1
329;11;0.0047;1
329;2;0.05;1
329;3;0;0
329;1;0;0
329;4;0;0
329;5;0;0
329;7;0;0
329;13;0.0226;2
329;12;0;0
329;6;0.005;2
329;16;0;0
329;10;0;0
329;14;0;0
329;8;0;0
329;9;0;0
329;15;0.055;1
379;11;0;0
379;2;0;0
379;3;0;0
379;1;0;0
379;4;0;0
379;5;0;0
379;7;0.03;0
379;13;0;0
379;12;0.105;1
379;6;0.04;1
379;16;0.28;1
379;10;0;0
379;14;0;0
379;8;0;0
379;9;0;0
379;15;0;0
399;11;0.0047;1
399;2;0.05;1
399;3;0;0
399;1;0;0
399;4;0;0
399;5;0;0
399;7;0;0
399;13;0.0226;2
399;12;0;0
399;6;0.005;1
399;16;0;0
399;10;0;0
399;14;0;0
399;8;0;0
399;9;0;0
399;15;0.055;1
435;11;0;0
435;2;0;0
435;3;0;0
435;1;0;0
435;4;0;0
435;5;0;0
435;7;0.05;0
435;13;0;0
435;12;0;0
435;6;0;0
435;16;0.15;1
435;10;0;0
435;14;0;0
435;8;0;0
435;9;0;0
435;15;0;0
437;11;0;0
437;2;0;0
437;3;0;0
437;1;0;0
437;4;0;0
437;5;0;0
437;7;0.05;0
437;13;0;0
437;12;0;0
437;6;0;0
437;16;0.15;0
437;10;0;0
437;14;0;0
437;8;0;0
437;9;0;0
437;15;0;0
497;11;0;0
497;2;0;0
497;3;0.03;1
497;1;0;0
497;4;0;0
497;5;0;0
497;7;0;0
497;13;0.0226;1
497;12;0;0
497;6;0.005;2
497;16;0;0
497;10;0;0
497;14;0;0
497;8;0;0
497;9;0;0
497;15;0.049;1
516;11;0.02;1
516;2;0;0
516;3;0;0
516;1;0;0
516;4;0;0
516;5;0;0
516;13;0;0
516;12;0.0205;1
516;6;0.014;1
516;16;0.104;1
516;10;0;0
516;14;0;0
516;8;0;0
516;9;0;0
516;15;0;0
517;11;0;0
517;2;0.14;8
517;3;0.28;4
517;1;0.03;1
517;4;0.007;1
517;5;0.051;1
517;7;0;0
517;13;0;0
517;12;0;0
517;6;0.02;4
517;16;0;0
517;10;0.03;1
517;14;0.043;2
517;8;0;0
517;9;0;0
517;15;0;0
518;11;0;0
518;2;0.19;8
518;3;0.333;4
518;1;0.03;1
518;4;0.007;1
518;5;0.051;1
518;7;0;0
518;13;0;0
518;12;0;0
518;6;0.02;4
518;16;0;0
518;10;0.03;1
518;14;0.043;2
518;8;0;0
518;9;0;0
518;15;0;0
526;11;0.039;1
526;2;0;0
526;3;0;0
526;1;0.036;1
526;4;0.029;1
526;5;0.073;1
526;7;0;0
526;13;0;0
526;12;0;0
526;6;0;0
526;16;0;0
526;10;0.057;1
526;14;0.043;2
526;8;0;0
526;9;0;0
526;15;0;0
527;11;0.039;1
527;2;0;0
527;3;0;0
527;1;0.056;1
527;4;0.029;1
527;5;0.073;1
527;7;0;0
527;13;0;0
527;12;0;0
527;6;0;0
527;16;0;0
527;10;0.057;1
527;14;0.043;2
527;8;0;0
527;9;0;0
527;15;0;0
528;11;0.039;1
528;2;0;0
528;3;0;0
528;1;0.036;1
528;4;0.029;1
528;5;0.073;1
528;7;0;0
528;13;0;0
528;12;0;0
528;6;0;0
528;16;0;0
528;10;0.057;1
528;14;0.043;2
528;8;0;0
528;9;0;0
528;15;0;0
543;11;0;0
543;2;0.3;10
543;3;0.384;2
543;1;0.06;1
543;4;0.007;1
543;5;0.051;1
543;13;0;0
543;12;0;0
543;6;0.0096;10
543;16;0;0
543;10;0.06;1
543;14;0.043;2
543;8;0;0
543;9;0;0
543;15;0;0
544;11;0;0
544;2;0;0
544;3;0.192;1
544;1;0.03;1
544;4;0.007;1
544;5;0.051;1
544;13;0;0
544;12;0;0
544;6;0.0096;1
544;16;0;0
544;10;0.03;1
544;14;0;0
544;8;0;0
544;9;0;0
544;15;0;0
546;11;0;0
546;2;0.15;5
546;3;0.192;1
546;1;0.03;1
546;4;0.007;1
546;5;0.051;1
546;13;0;0
546;12;0;0
546;6;0.0096;5
546;16;0;0
546;10;0.03;1
546;14;0.043;2
546;8;0;0
546;9;0;0
546;15;0;0
547;11;0;0
547;2;0;0
547;3;0.192;1
547;1;0.03;1
547;4;0.007;1
547;5;0.051;1
547;13;0;0
547;12;0;0
547;6;0.0096;1
547;16;0;0
547;10;0.03;1
547;14;0.043;2
547;8;0;0
547;9;0;0
547;15;0;0
550;11;0.006;2
550;2;0.04;5
550;3;0.026;4
550;1;0.136;5
550;4;0.085;4
550;5;0;0
550;7;0;0
550;13;0.0648;1
550;12;0;0
550;6;0.041;6
550;16;0;0
550;10;0;0
550;14;0.0193;2
550;8;0;0
550;9;0.2522;1
550;15;0;0
550;17;0;0
556;11;0.006;2
556;2;0.04;5
556;3;0.026;4
556;1;0.136;5
556;4;0.085;4
556;5;0;0
556;7;0;0
556;13;0.0648;8
556;12;0;0
556;6;0.041;6
556;16;0;0
556;10;0;0
556;14;0.0193;2
556;8;0;0
556;9;0.2522;1
556;15;0;0
556;17;0;0
600;11;0;0
600;2;0.0275;2
600;3;0.1041;3
600;1;0.0198;2
600;4;0.0463;2
600;5;0.0268;2
600;7;0;0
600;13;0;0
600;12;0;0
600;6;0.041;3
600;16;0;0
600;10;0.0225;1
600;14;0.022;2
600;8;0;0
600;9;0;0
600;15;0;0
601;11;0;0
601;2;0.0915;2
601;3;0.1041;3
601;1;0.0425;2
601;4;0.0458;2
601;5;0.095;2
601;13;0;0
601;12;0;0
601;6;0.0571;3
601;16;0;0
601;10;0.0208;1
601;14;0.043;2
601;8;0;0
601;9;0;0
601;15;0;0
602;11;0;0
602;2;0.0413;3
602;3;0.1561;6
602;1;0.0425;3
602;4;0.0497;3
602;5;0.0305;3
602;7;0;0
602;13;0;0
602;12;0;0
602;6;0.0734;6
602;16;0;0
602;10;0.1153;1
602;14;0.043;2
602;8;0;0
602;9;0;0
602;15;0;0
604;11;0.04;12
604;2;0;0
604;3;0.035;1
604;1;0.069;7
604;4;0.081;7
604;5;0;0
604;13;0;0
604;12;0;0
604;6;0.014;1
604;16;0;0
604;10;0;0
604;14;0;0
604;8;0;0
604;9;0.1944;1
604;15;0;0
606;11;0;0
606;2;0;0
606;3;0;0
606;1;0.069;6
606;4;0.081;6
606;5;0;0
606;13;0;0
606;12;0;0
606;6;0;0
606;16;0;0
606;10;0;0
606;14;0.043;2
606;8;0;0
606;9;0.183;1
606;15;0;0
608;11;0.0027;0
608;2;0.0968;2
608;3;0.06;3
608;1;0.1282;8
608;4;0.1479;8
608;5;0;0
608;7;0;0
608;13;0;0
608;12;0;0
608;6;0.0033;3
608;16;0;0
608;10;0;0
608;14;0.022;2
608;8;0;0
608;9;0.4073;1
608;15;0;0
608;17;0;0
610;11;0.02;12
610;2;0;0
610;3;0.14;3
610;1;0.057;7
610;4;0.061;7
610;5;0;0
610;7;0;0
610;13;0;0
610;12;0;0
610;6;0.014;3
610;16;0;0
610;10;0;0
610;14;0;0
610;8;0.077;1
610;9;0;0
610;15;0;0
615;11;0;0
615;2;0;0
615;3;0;0
615;1;0;0
615;4;0;0
615;5;0;0
615;7;0;0
615;13;0;0
615;12;0;0
615;6;0;0
615;16;0;0
615;10;0.116;1
615;14;0;0
615;8;0;0
615;9;0;0
615;15;0;0
617;11;0;0
617;2;0;0
617;3;0;0
617;1;0;0
617;4;0;0
617;5;0;0
617;7;0;0
617;13;0;0
617;12;0;0
617;6;0;0
617;16;0;0
617;10;0.01;1
617;14;0.083;2
617;8;0;0
617;9;0;0
617;15;0;0
618;11;0;0
618;2;0;0
618;3;0;0
618;1;0;0
618;4;0;0
618;5;0;0
618;13;0;0
618;12;0;0
618;6;0.02;2
618;16;0;0
618;10;0.019;1
618;14;0.043;2
618;8;0;0
618;9;0;0
618;15;0;0
623;11;0;0
623;2;0.11;5
623;3;0.06;7
623;1;0.14;2
623;4;0.095;2
623;5;0.092;2
623;7;0;0
623;13;0;0
623;12;0;0
623;6;0.014;5
623;16;0;0
623;10;0.069;1
623;14;0.043;2
623;8;0;0
623;9;0;0
623;15;0;0
625;11;0;0
625;2;0.2;4
625;3;0.261;7
625;1;0.282;4
625;4;0.078;4
625;5;0.568;4
625;7;0;0
625;13;0;0
625;12;0;0
625;6;0.02;7
625;16;0;0
625;10;0.103;1
625;14;0.043;2
625;8;0;0
625;9;0;0
625;15;0;0
626;11;0;0
626;2;0.2;4
626;3;0.16;7
626;1;0.298;4
626;4;0.092;4
626;5;0.568;4
626;7;0;0
626;13;0;0
626;12;0;0
626;6;0.02;7
626;16;0;0
626;10;0.103;1
626;14;0.043;2
626;8;0;0
626;9;0;0
626;15;0;0
627;11;0;0
627;2;0.2;2
627;3;0.174;3
627;1;0.046;2
627;4;0.043;2
627;5;0.031;2
627;7;0;0
627;13;0;0
627;12;0;0
627;6;0.02;3
627;16;0;0
627;10;0.102;1
627;14;0.043;2
627;8;0;0
627;9;0;0
627;15;0;0
630;11;0;0
630;2;0.0277;2
630;3;0.174;6
630;1;0.066;3
630;4;0.0837;3
630;5;0.0305;3
630;13;0;0
630;12;0;0
630;6;0.049;10
630;16;0;0
630;10;0.0225;1
630;14;0.026;2
630;8;0;0
630;9;0;0
630;15;0;0
631;11;0;0
631;2;0.06;2
631;3;0.136;5
631;1;0.037;1
631;4;0.027;1
631;5;0.051;1
631;13;0;0
631;12;0;0
631;6;0.0192;7
631;16;0;0
631;10;0.069;1
631;14;0.043;2
631;8;0;0
631;9;0;0
631;15;0;0
637;11;0;0
637;2;0;0
637;3;0;0
637;1;0;0
637;4;0;0
637;5;0;0
637;13;0;0
637;12;0;0
637;6;0.02;2
637;16;0;0
637;10;0.019;1
637;14;0.043;2
637;8;0;0
637;9;0;0
637;15;0;0
638;11;0;0
638;2;0;0
638;3;0;0
638;1;0;0
638;4;0;0
638;5;0;0
638;7;0;0
638;13;0;0
638;12;0;0
638;6;0;0
638;16;0;0
638;10;0.008;1
638;14;0;0
638;8;0;0
638;9;0;0
638;15;0;0
642;11;0.01;25
642;2;0;0
642;3;0.078;4
642;1;0.069;8
642;4;0.081;8
642;5;0;0
642;13;0.042;1
642;12;0;0
642;6;0.014;3
642;16;0;0
642;10;0;0
642;14;0;0
642;8;0.183;1
642;9;0;0
642;15;0;0
643;11;0.0138;12
643;2;0;0
643;3;0.0428;3
643;1;0.0945;7
643;4;0.031;6
643;5;0;0
643;7;0.0833;1
643;13;0;0
643;12;0;0
643;6;0.014;3
643;16;0.2208;1
643;10;0;0
643;14;0;0
643;8;0.0842;1
643;9;0;0
643;15;0;0
643;17;0;0
644;11;0;0
644;2;0.06;1
644;3;0.064;3
644;1;0.029;1
644;4;0.022;1
644;5;0.025;1
644;7;0;0
644;13;0;0
644;12;0;0
644;6;0.002;3
644;16;0;0
644;10;0.019;1
644;14;0.0043;2
644;8;0;0
644;9;0;0
644;15;0;0
645;11;0;0
645;2;0.06;1
645;3;0.064;3
645;1;0.029;1
645;4;0.022;1
645;5;0.095;1
